ID,Date,URL,Russian Title,Original Title,Year,Rating1,Rating2,Is Series
"tt1016150","2026-05-28","https://www.kinopoisk.ru/film/316376/","На Западном фронте без перемен (2022)","Im Westen nichts Neues","2022","6","6","0"
"tt0822854","2026-05-26","https://www.kinopoisk.ru/film/257898/","Стрелок (2007)","Shooter","2007","8","8","0"
"tt2156825","2026-05-25","https://www.kinopoisk.ru/film/573860/","Камень (2011)","","2011","6","6","0"
"tt0091763","2026-05-24","https://www.kinopoisk.ru/film/468/","Взвод (1986)","Platoon","1986","6","6","0"
"tt14850054","2026-05-24","https://www.kinopoisk.ru/film/4476433/","Гренландия 2: Миграция (2026)","Greenland 2: Migration","2026","5","5","0"
"tt7737786","2026-05-24","https://www.kinopoisk.ru/film/1164520/","Гренландия (2020)","Greenland","2020","6","6","0"
"tt16431404","2026-05-23","https://www.kinopoisk.ru/film/6553387/","На вершине (2026)","Apex","2026","7","7","0"
"tt32299316","2026-05-22","https://www.kinopoisk.ru/film/7508439/","Хищные твари (2025)","Dangerous Animals","2025","5","5","0"
"tt1258197","2026-05-22","https://www.kinopoisk.ru/film/418762/","Экзамен (2009)","Exam","2009","5","5","0"
"tt0997152","2026-05-22","https://www.kinopoisk.ru/film/467972/","Эксперимент (2010)","The Experiment","2010","7","7","0"
"tt33978029","2026-05-21","https://www.kinopoisk.ru/film/6747282/","Я иду искать 2 (2025)","Ready or Not 2: Here I Come","2025","7","7","0"
"tt0144084","2026-05-21","https://www.kinopoisk.ru/film/588/","Американский психопат (2000)","American Psycho","2000","9","9","0"
"tt30420630","2026-05-21","https://www.kinopoisk.ru/film/5427621/","Батя 2. Дед (2025)","","2025","7","7","0"
"","2026-05-21","https://www.kinopoisk.ru/film/8168853/","Батя 2. Дед (мини-сериал, 2025)","","2025","7","","1"
"tt7670276","2026-05-20","https://www.kinopoisk.ru/film/1100374/","Любовницы (2019)","","2019","4","4","0"
"tt30057084","2026-05-20","https://www.kinopoisk.ru/film/5449125/","Плохая девочка (2024)","Babygirl","2024","6","6","0"
"tt8036976","2026-05-20","https://www.kinopoisk.ru/film/7045510/","На помощь! (2025)","Send Help","2025","6","6","0"
"tt33071426","2026-05-14","https://www.kinopoisk.ru/film/6530127/","Вот это драма! (2026)","The Drama","2026","8","8","0"
"tt27047903","2026-05-06","https://www.kinopoisk.ru/film/5364826/","Крик 7 (2026)","Scream 7","2026","6","6","0"
"tt17663992","2026-05-06","https://www.kinopoisk.ru/film/4864943/","Крик 6 (2023)","Scream VI","2023","7","7","0"
"tt1262416","2026-05-06","https://www.kinopoisk.ru/film/420072/","Крик 4 (2011)","Scream 4","2011","6","6","0"
"tt11245972","2026-05-01","https://www.kinopoisk.ru/film/1328422/","Крик (2022)","Scream","2022","7","7","0"
"tt1700841","2026-05-01","https://www.kinopoisk.ru/film/557804/","Полный расколбас (2016)","Sausage Party","2016","7","7","0"
"tt7587890","2026-03-28","https://www.kinopoisk.ru/film/1142153/","Новичок (сериал, 2018 – ...)","The Rookie","2018","7","7","1"
"tt34381258","2026-03-24","https://www.kinopoisk.ru/film/10956019/","На цепи (2025)","Heel","2025","8","8","0"
"tt32897959","2026-03-11","https://www.kinopoisk.ru/film/6398650/","Грозовой перевал (2026)","Wuthering Heights","2026","6","6","0"
"tt15671028","2026-03-02","https://www.kinopoisk.ru/film/4987446/","Без обид (2023)","No Hard Feelings","2023","7","7","0"
"tt27543632","2026-03-01","https://www.kinopoisk.ru/film/6750360/","Горничная (2025)","The Housemaid","2025","7","7","0"
"tt27497448","2026-02-27","https://www.kinopoisk.ru/film/5281617/","Рыцарь Семи Королевств (сериал, 2026 – ...)","A Knight of the Seven Kingdoms","2026","9","9","1"
"tt9848626","2026-02-25","https://www.kinopoisk.ru/film/1243552/","Монстры на каникулах: Трансформания (2022)","Hotel Transylvania: Transformania","2022","6","6","0"
"tt5040012","2026-02-23","https://www.kinopoisk.ru/film/1048253/","Носферату (2024)","Nosferatu","2024","8","8","0"
"tt1312221","2026-02-23","https://www.kinopoisk.ru/film/464475/","Франкенштейн (2025)","Frankenstein","2025","7","7","0"
"tt0279600","2026-02-23","https://www.kinopoisk.ru/film/86193/","Тайны Смолвиля (сериал, 2001 – 2011)","Smallville","2001","7","7","1"
"tt1649419","2026-02-23","https://www.kinopoisk.ru/film/518037/","Невозможное (2012)","Lo imposible","2012","8","8","0"
"tt15296186","2026-02-23","https://www.kinopoisk.ru/film/1227997/","Мира (2022)","","2022","6","6","0"
"tt32141377","2026-02-22","https://www.kinopoisk.ru/film/6745035/","28 лет спустя: Храм костей (2026)","28 Years Later: The Bone Temple","2026","7","7","0"
"tt31050594","2026-02-22","https://www.kinopoisk.ru/film/5453060/","Казнить нельзя помиловать (2026)","Mercy","2026","6","6","0"
"tt2191701","2026-02-21","https://www.kinopoisk.ru/film/663191/","Одноклассники 2 (2013)","Grown Ups 2","2013","6","6","0"
"tt21276878","2026-02-21","https://www.kinopoisk.ru/film/5054262/","И не подумай прийти на мою бат-мицву (2023)","You Are So Not Invited to My Bat Mitzvah","2023","6","6","0"
"tt1375670","2026-02-21","https://www.kinopoisk.ru/film/450345/","Одноклассники (2010)","Grown Ups","2010","8","8","0"
"","2026-02-21","https://www.kinopoisk.ru/film/9178123/","Астрал. Амулет зла (2025)","It Will Find You","2025","3","","0"
"tt30446847","2026-02-18","https://www.kinopoisk.ru/film/5458629/","Джей Келли (2025)","Jay Kelly","2025","6","6","0"
"tt3741346","2026-02-18","https://www.kinopoisk.ru/film/891577/","Реальный Роб (сериал, 2015 – 2017)","Real Rob","2015","7","7","1"
"tt5755238","2026-02-12","https://www.kinopoisk.ru/film/1346564/","Лео (2023)","Leo","2023","7","7","0"
"tt5220122","2026-02-12","https://www.kinopoisk.ru/film/950968/","Монстры на каникулах 3: Море зовёт (2018)","Hotel Transylvania 3: Summer Vacation","2018","6","6","0"
"tt2467372","2026-02-10","https://www.kinopoisk.ru/film/714102/","Бруклин 9-9 (сериал, 2013 – 2021)","Brooklyn Nine‑Nine","2013","7","7","1"
"tt0096870","2026-02-09","https://www.kinopoisk.ru/film/4194/","Всех за борт (1989)","Going Overboard","1989","6","6","0"
"tt11097384","2026-02-05","https://www.kinopoisk.ru/film/4421676/","Космонавт (2024)","Spaceman","2024","5","5","0"
"tt3203616","2026-02-05","https://www.kinopoisk.ru/film/801924/","Сапожник (2014)","The Cobbler","2014","6","6","0"
"tt0102898","2026-02-05","https://www.kinopoisk.ru/film/4193/","Клоун Шейкс (1991)","Shakes the Clown","1991","4","4","0"
"","2026-02-04","https://www.kinopoisk.ru/film/4541421/","Venture Into Cures (2020)","","2020","5","","0"
"","2026-02-04","https://www.kinopoisk.ru/film/1133684/","The Dog Police (1990)","","1990","4","","0"
"tt10682266","2026-02-04","https://www.kinopoisk.ru/film/1290806/","Хэллоуин Хьюби (2020)","Hubie Halloween","2020","6","6","0"
"tt2479478","2026-02-04","https://www.kinopoisk.ru/film/714187/","Нелепая шестёрка (2015)","The Ridiculous 6","2015","5","5","0"
"tt6821012","2026-02-04","https://www.kinopoisk.ru/film/1093047/","Неделя до... (2018)","The Week Of","2018","6","6","0"
"tt5536736","2026-02-04","https://www.kinopoisk.ru/film/968307/","Истории семьи Майровиц (2017)","The Meyerowitz Stories (New and Selected)","2017","6","6","0"
"tt2784678","2026-02-03","https://www.kinopoisk.ru/film/745873/","Пятёрка лидеров (2014)","Top Five","2014","7","7","0"
"tt4769836","2026-02-03","https://www.kinopoisk.ru/film/917496/","Все по новой (2016)","The Do‑Over","2016","6","6","0"
"tt5893332","2026-02-03","https://www.kinopoisk.ru/film/992773/","Сэнди Уэкслер (2017)","Sandy Wexler","2017","5","5","0"
"tt3179568","2026-02-03","https://www.kinopoisk.ru/film/798110/","Мужчины, женщины и дети (2014)","Men, Women & Children","2014","5","5","0"
"tt2265171","2026-02-03","https://www.kinopoisk.ru/film/669466/","Рейд 2 (2013)","Serbuan maut 2: Berandal","2013","6","6","0"
"","2026-02-02","https://www.kinopoisk.ru/film/6589776/","Питт (сериал, 2025 – ...)","The Pitt","2025","9","","1"
"tt26743210","2026-01-31","https://www.kinopoisk.ru/film/5267432/","Как приручить дракона (2025)","How to Train Your Dragon","2025","7","7","0"
"tt1222817","2026-01-31","https://www.kinopoisk.ru/film/424301/","Мой парень из зоопарка (2011)","Zookeeper","2011","6","6","0"
"","2026-01-29","https://www.kinopoisk.ru/film/330277/","Секреты Анны-Николь Смит (1998)","Anna Nicole Smith: Exposed","1998","6","","0"
"tt0120888","2026-01-29","https://www.kinopoisk.ru/film/1803/","Певец на свадьбе (1998)","The Wedding Singer","1998","7","7","0"
"tt0086687","2026-01-29","https://www.kinopoisk.ru/film/277786/","Шоу Косби (сериал, 1984 – 1992)","The Cosby Show","1984","6","6","1"
"tt0112508","2026-01-28","https://www.kinopoisk.ru/film/4190/","Билли Мэдисон (1995)","Billy Madison","1995","6","6","0"
"tt0110538","2026-01-28","https://www.kinopoisk.ru/film/1571/","Совершенно чокнутый (1994)","Mixed Nuts","1994","5","5","0"
"tt0109068","2026-01-27","https://www.kinopoisk.ru/film/4191/","Пустоголовые (1994)","Airheads","1994","7","7","0"
"","2026-01-27","https://www.kinopoisk.ru/film/1342297/","Голдман против Сильвермана (2020)","Goldman v Silverman","2020","6","","0"
"","2026-01-27","https://www.kinopoisk.ru/film/1435851/","Nature Planet (2020)","","2020","6","","0"
"tt6450752","2026-01-27","https://www.kinopoisk.ru/film/1016130/","Пёсик! (2017)","Puppy!","2017","6","6","0"
"","2026-01-27","https://www.kinopoisk.ru/film/497038/","Подсматривающий (1999)","The Peeper","1999","5","","0"
"","2026-01-27","https://www.kinopoisk.ru/film/737865/","The Making of «Happy Gilmore» (1996)","","1996","7","","0"
"tt0342267","2026-01-27","https://www.kinopoisk.ru/film/51039/","A Day with the Meatball (2002)","","2002","6","6","0"
"tt0365082","2026-01-27","https://www.kinopoisk.ru/film/327684/","Диван (2003)","Couch","2003","5","5","0"
"","2026-01-27","https://www.kinopoisk.ru/film/1065460/","Punch‑Drunk Love: 12 Scopitones (2003)","","2003","6","","0"
"","2026-01-27","https://www.kinopoisk.ru/film/331291/","Цветы и кровь (2003)","Punch‑Drunk Love: Deleted Scenes – Blossoms & Blood","2003","6","","0"
"tt0120484","2026-01-27","https://www.kinopoisk.ru/film/4022/","Маменькин сыночек (1998)","The Waterboy","1998","6","6","0"
"tt0271263","2026-01-27","https://www.kinopoisk.ru/film/4185/","Восемь безумных ночей (2002)","Eight Crazy Nights","2002","5","5","0"
"tt0272338","2026-01-27","https://www.kinopoisk.ru/film/793/","Любовь, сбивающая с ног (2002)","Punch‑Drunk Love","2002","6","6","0"
"tt0255798","2026-01-26","https://www.kinopoisk.ru/film/4187/","Животное (2001)","The Animal","2001","6","6","0"
"tt0490204","2026-01-26","https://www.kinopoisk.ru/film/251735/","Опустевший город (2007)","Reign Over Me","2007","7","7","0"
"tt0185431","2026-01-25","https://www.kinopoisk.ru/film/4139/","Никки, дьявол младший (2000)","Little Nicky","2000","5","5","0"
"tt3402138","2026-01-23","https://www.kinopoisk.ru/film/817971/","Голый пистолет (2025)","The Naked Gun","2025","9","9","0"
"tt32118517","2026-01-19","https://www.kinopoisk.ru/film/5354680/","Буратино (2025)","","2025","7","7","0"
"tt0110622","2026-01-16","https://www.kinopoisk.ru/film/1933/","Голый пистолет 33 1/3: Последний выпад (1994)","Naked Gun 33 1/3: The Final Insult","1994","8","8","0"
"tt0102510","2026-01-16","https://www.kinopoisk.ru/film/2388/","Голый пистолет 2 1/2: Запах страха (1991)","The Naked Gun 2½: The Smell of Fear","1991","7","7","0"
"tt0095705","2026-01-15","https://www.kinopoisk.ru/film/4067/","Голый пистолет (1988)","The Naked Gun: From the Files of Police Squad!","1988","8","8","0"
"","2026-01-15","https://www.kinopoisk.ru/film/7137551/","Город демонов (2025)","Oni Goroshi","2025","5","","0"
"tt0371246","2026-01-08","https://www.kinopoisk.ru/film/48039/","Испанский английский (2004)","Spanglish","2004","10","10","0"
"","2026-01-08","https://www.kinopoisk.ru/film/301237/","Showtime Special: The Longest Yard (2005)","","2005","6","","0"
"","2026-01-08","https://www.kinopoisk.ru/film/1189593/","The Longest Yard: Deleted Scenes (2005)","","2005","7","","0"
"tt0960731","2026-01-08","https://www.kinopoisk.ru/film/279770/","Сказки на ночь (2008)","Bedtime Stories","2008","6","6","0"
"tt0810913","2026-01-08","https://www.kinopoisk.ru/film/462883/","Такие разные близнецы (2011)","Jack and Jill","2011","6","6","0"
"tt0083466","2026-01-07","https://www.kinopoisk.ru/film/260912/","Полицейский отряд! (мини-сериал, 1982)","Police Squad!","1982","9","9","1"
"tt6604188","2026-01-06","https://www.kinopoisk.ru/film/634944/","Трон: Арес (2025)","Tron: Ares","2025","6","6","0"
"tt31227572","2026-01-05","https://www.kinopoisk.ru/film/5463792/","Хищник: Планета смерти (2025)","Predator: Badlands","2025","7","7","0"
"tt14364480","2026-01-05","https://www.kinopoisk.ru/film/4421816/","Достать ножи: Воскрешение покойника (2025)","Wake Up Dead Man","2025","7","7","0"
"tt31434639","2025-12-28","https://www.kinopoisk.ru/film/5455250/","Под огнём (2025)","Warfare","2025","6","6","0"
"tt16492734","2025-12-25","https://www.kinopoisk.ru/film/4714902/","5:32 (сериал, 2021 – 2022)","5:32","2021","7","7","1"
"tt37542887","2025-12-25","https://www.kinopoisk.ru/film/9026160/","Невероятные приключения Шурика (2025)","","2025","8","8","0"
"tt4712810","2025-12-25","https://www.kinopoisk.ru/film/915178/","Иллюзия обмана 3 (2025)","Now You See Me: Now You Don't","2025","5","5","0"
"tt13616990","2025-12-20","https://www.kinopoisk.ru/film/2040161/","Человек-бензопила (сериал, 2022)","Chainsaw Man","2022","8","8","1"
"tt30472557","2025-12-20","https://www.kinopoisk.ru/film/5430477/","Человек-бензопила. Фильм: История Резе (2025)","Chainsaw Man Movie: Reze‑hen","2025","8","8","0"
"tt28364592","2025-12-19","https://www.kinopoisk.ru/film/4476147/","Кракен (2025)","","2025","3","3","0"
"tt0377981","2025-12-18","https://www.kinopoisk.ru/film/261819/","Гномео и Джульетта (2011)","Gnomeo & Juliet","2011","5","5","0"
"tt0369339","2025-12-18","https://www.kinopoisk.ru/film/61325/","Соучастник (2004)","Collateral","2004","8","8","0"
"tt0216772","2025-12-18","https://www.kinopoisk.ru/film/4910/","Сделай погромче (2000)","Turn It Up","2000","5","5","0"
"tt0267804","2025-12-18","https://www.kinopoisk.ru/film/3997/","Противостояние (2001)","The One","2001","5","5","0"
"tt0449061","2025-12-18","https://www.kinopoisk.ru/film/102199/","Лондон (2005)","London","2005","8","8","0"
"tt0228333","2025-12-18","https://www.kinopoisk.ru/film/3849/","Призраки Марса (2001)","Ghosts of Mars","2001","5","5","0"
"tt7570234","2025-12-17","https://www.kinopoisk.ru/film/1087458/","Хранители боевых искусств (2017)","Gong shou dao","2017","6","6","0"
"tt0291341","2025-12-17","https://www.kinopoisk.ru/film/749/","Костолом (2001)","Mean Machine","2001","6","6","0"
"","2025-12-17","https://www.kinopoisk.ru/film/1228085/","Wix.com Big Game Ad with Jason Statham & Gal Gadot (2017)","","2017","6","","0"
"","2025-12-17","https://www.kinopoisk.ru/film/1363577/","The Malaysian Prison (2016)","","2016","6","","0"
"","2025-12-17","https://www.kinopoisk.ru/film/1363579/","Bringing the Hunter to Life: The Making of «Parker» (2013)","","2013","6","","0"
"","2025-12-17","https://www.kinopoisk.ru/film/1363578/","Who Is 'Parker'? (2013)","","2013","6","","0"
"","2025-12-17","https://www.kinopoisk.ru/film/1361200/","Tools of the Trade: Inside the Action of «The Mechanic» (2011)","","2011","7","","0"
"tt0402910","2025-12-17","https://www.kinopoisk.ru/film/81101/","Хаос (2005)","Chaos","2005","6","6","0"
"","2025-12-10","https://www.kinopoisk.ru/film/6605654/","Камбэк (сериал, 2025 – ...)","","2025","5","","1"
"","2025-12-03","https://www.kinopoisk.ru/film/9798178/","Два мира, одно желание (2025)","Iki Dünya Bir Dilek","2025","6","","0"
"tt9362736","2025-12-03","https://www.kinopoisk.ru/film/5312505/","Умри, моя любовь (2025)","Die My Love","2025","9","9","0"
"tt9859436","2025-12-01","https://www.kinopoisk.ru/film/1245667/","Ходячие мертвецы: Выжившие (мини-сериал, 2024)","The Walking Dead: The Ones Who Live","2024","3","3","1"
"","2025-12-01","https://www.kinopoisk.ru/film/5417822/","Папины дочки. Новогодние (2023)","","2023","6","","0"
"tt29644189","2025-11-30","https://www.kinopoisk.ru/film/5445185/","Чёрный телефон 2 (2025)","Black Phone 2","2025","7","7","0"
"","2025-11-25","https://www.kinopoisk.ru/film/8240803/","Папины дочки. Мама вернулась (2025)","","2025","7","","0"
"tt1232200","2025-11-01","https://www.kinopoisk.ru/film/462884/","Папа-досвидос (2012)","That's My Boy","2012","7","7","0"
"tt1201167","2025-11-01","https://www.kinopoisk.ru/film/409348/","Приколисты (2009)","Funny People","2009","6","6","0"
