"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"132","Sea of Thieves","22222222","PPSA17668","PS5","Нет","999,00 TL","Standard Edition: 999,00 TL; 2026 Deluxe Edition: 1.249,00 TL; 2026 Premium Edition: 1.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10008884","2024-04-30","Adventure","PEGI_12"
"382","Directive 8020","22222222","PPSA16384","PS5","Нет","2.149,00 TL","Digital Deluxe Edition: 2.579,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10008357","2026-05-12","Horror","PEGI_18"
"203","Echoes of Aincrad","22222222","PPSA22969","PS5","Нет","2.999,00 TL","Standard Edition: 2.999,00 TL; Deluxe Edition: 3.849,00 TL; Ultimate Edition: 4.749,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010956","2026-07-09","Action","PEGI_12"
"707","DRAGON BALL XENOVERSE 2","22222222","PPSA08586","PS4, PS5","Нет","699,00 TL","Standard Edition: 699,00 TL; Dragon Ball Xenoverse 1 and 2 Bundle: 654,33 TL; Special Edition: 1.749,00 TL; Deluxe Edition: 1.399,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/217012","2024-05-23","Fighting","PEGI_12"
"419","NARUTO TO BORUTO: SHINOBI STRIKER","22222222","CUSA08767","PS4","Нет","1.049,00 TL","Ultimate Edition: 4.949,00 TL; NARUTO TO BORUTO: SHINOBI STRIKER Deluxe Edition: 1.949,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/227447","2018-08-30","Action","PEGI_12"
"282","Sonic Racing: CrossWorlds","22222222","PPSA08804","PS4, PS5","Нет","2.499,00 TL","Standard Edition: 2.499,00 TL; Digital Deluxe Edition: 3.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10005570","2025-09-25","Driving/Racing","PEGI_3"
"832","Dead Island 2","22222222","PPSA03099","PS4, PS5","Нет","1.749,00 TL","Ultimate Edition: 2.499,00 TL; Series Bundle: 769,80 TL","Нет","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/201061","2023-04-20","Adventure","PEGI_18"
"171","Call of Duty: Modern Warfare","22222222","CUSA15277","PS4","Нет","2.159,99 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/229182","2019-10-24","Shooter","PEGI_18"
"60","Call of Duty: WWII","22222222","CUSA08630","PS4","Нет","254,00 TL","Call of Duty®: WWII - Gold Edition: 254,00 TL; Call of Duty®: WWII - Digital Deluxe Edition: 1.102,15 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/227115","2018-05-07","Shooter","PEGI_18"
"286","Crash Bandicoot N. Sane Trilogy","22222222","CUSA07399","PS4","Нет","1.749,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/227649","2017-06-29","Action","PEGI_7"
"415","Crash Bandicoot 4: It’s About Time","22222222","PPSA02433","PS4, PS5","Нет","2.299,00 TL","Crash Bandicoot™ 4: It’s About Time: 2.299,00 TL; Crash Bandicoot™ - Quadrilogy Bundle: 769,00 TL; Crash Bandicoot™ - Crashiversary Bundle: 999,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10000264","2021-03-12","Action","PEGI_12"
"416","RESIDENT EVIL 3","22222222","PPSA03953","PS4, PS5","Нет","1.399,00 TL","Standard Edition: 1.399,00 TL; Raccoon City Edition: 2.099,00 TL","Нет","Да","PS Plus","https://store.playstation.com/en-tr/concept/233069","2022-06-13","Adventure","PEGI_18"
"239","RESIDENT EVIL 7 biohazard","22222222","PPSA04401","PS4, PS5","Нет","699,00 TL","Standard Edition: 699,00 TL; Gold Edition: 1.399,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/220037","2022-06-13","Action","PEGI_18"
"130","Avatar: Frontiers of Pandora","22222222","PPSA07497","PS5","Нет","1.049,00 TL","From The Ashes Edition: 1.399,00 TL; Complete Edition: 2.099,00 TL","Нет","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/235179","2023-12-06","Unique","PEGI_16"
"198","Nioh 3","22222222","PPSA32785","PS5","Нет","3.449,00 TL","Standard Edition: 3.449,00 TL; Digital Deluxe Edition: 5.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10014010","2026-02-05","Role Playing Games","PEGI_18"
"482","Monster Hunter Wilds","22222222","PPSA07862","PS5","Нет","1.749,00 TL","Standard Edition: 1.749,00 TL; Gold Edition: 3.449,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/10005176","2025-02-27","Action","PEGI_16"
"583","DARK SOULS III","22222222","CUSA03365","PS4","Нет","3.249,00 TL","DARK SOULS™ III - Deluxe Edition: 4.499,00 TL; DARK SOULS™ III: 3.249,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/201190","2016-04-11","Action","PEGI_16"
"583","DARK SOULS III","22222222","CUSA03365","PS4","Нет","3.249,00 TL","DARK SOULS™ III - Deluxe Edition: 4.499,00 TL; DARK SOULS™ III: 3.249,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/201190","2016-04-11","Action","PEGI_16"
"467","RESIDENT EVIL 5","22222222","CUSA04284","PS4","Нет","699,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/232115","2016-06-27","Horror","PEGI_18"
"431","ONE PIECE: PIRATE WARRIORS 4","22222222","PPSA27502","PS4, PS5","Нет","1.749,00 TL","Standard Edition: 1.749,00 TL; Ultimate Edition: 3.849,00 TL; Legendary Edition: 4.749,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/234628","2025-11-20","Adventure","PEGI_12"
"586","Tainted Grail: The Fall of Avalon","22222222","PPSA19411","PS5","Нет","1.575,00 TL","Standard Edition: 1.575,00 TL; Excalibur Edition: 2.349,00 TL; Adventure Pack: 2.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10009530","2025-05-23","Role Playing Games","PEGI_18"
"701","Resident Evil 6","22222222","CUSA03840","PS4","Нет","699,00 TL","Resident Evil Triple Pack: 1.749,00 TL; Resident Evil 6: 699,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/232116","2016-03-28","Shooter","PEGI_18"
"97","Call of Duty: Black Ops 4","22222222","CUSA12443","PS4","Нет","469,00 TL","Call of Duty®: Black Ops 4 - Digital Deluxe: 234,15 TL; Call of Duty®: Black Ops 4: 469,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/232300","2019-05-01","Shooter","PEGI_18"
"192","LEGO Marvel Super Heroes","22222222","CUSA00044","PS4","Нет","1.399,00 TL","LEGO® Marvel™ Super Heroes: 1.399,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/202493","2013-11-28","Action","PEGI_7"
"366","Cairn","22222222","PPSA28769","PS5","Нет","1.299,00 TL","Standard Edition: 1.299,00 TL; Cairn - Deluxe Edition: 1.590,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10014085","2026-01-29","Sport","PEGI_16"
"206","The Walking Dead: The Telltale Definitive Series","22222222","CUSA16506","PS4","Нет","1.749,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/234566","2019-09-09","Adventure","PEGI_18"
"193","Metro Exodus","22222222","PPSA01749","PS4, PS5","Нет","1.049,00 TL","Standard Edition: 1.049,00 TL; Gold Edition: 1.399,00 TL; Metro Saga Bundle: 2.099,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/231769","2021-06-17","Shooter","PEGI_18"
"318","BLEACH Rebirth of Souls","22222222","PPSA03579","PS4, PS5","Нет","2.499,00 TL","Standard Edition: 2.499,00 TL; Deluxe Edition: 3.399,00 TL; Ultimate Edition: 3.899,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10001710","2025-03-20","Fighting","PEGI_12"
"356","Atomfall","22222222","PPSA15493","PS4, PS5","Нет","2.099,00 TL","Standard: 2.099,00 TL; Atomfall Deluxe Edition: 2.099,25 TL; Atomfall Complete Edition: 3.849,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10007896","2025-03-27","Adventure","PEGI_18"
"1053","Solarpunk","22222222","PPSA27103","PS5","Нет","1.138,81 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/10013019","2026-06-08","Simulation","PEGI_3"
"320","The Alters","22222222","PPSA16033","PS5","Нет","1.499,00 TL","Standard Edition: 1.499,00 TL; Deluxe Edition: 1.289,40 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10008217","2025-06-13","Adventure","PEGI_16"
"682","DRAGON QUEST VII Reimagined","22222222","PPSA17942","PS5","Нет","2.999,00 TL","DRAGON QUEST VII Reimagined: 2.999,00 TL; Digital Deluxe Edition: 3.649,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008842","2026-02-04","Role Playing Games","PEGI_12"
"236","Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2","22222222","PPSA25427","PS4, PS5","Нет","2.579,00 TL","Standard Edition: 2.579,00 TL; Deluxe Edition: 2.999,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008540","2025-08-05","Action","PEGI_16"
"631","MY HERO ACADEMIA: All’s Justice","22222222","PPSA26174","PS5","Нет","2.999,00 TL","Standard Edition: 2.999,00 TL; Deluxe Edition: 3.849,00 TL; Ultimate Edition: 4.749,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10012661","2026-02-05","Action","PEGI_12"
"363","Yakuza Kiwami 3 & Dark Ties","22222222","PPSA30223","PS4, PS5","Нет","2.579,00 TL","Standard Edition: 2.579,00 TL; Deluxe Edition: 2.111,85 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10015219","2026-02-11","Adventure","PEGI_18"
"935","Hello Neighbor Hide and Seek","22222222","CUSA13970","PS4","Нет","1.199,00 TL","Hello Neighbor Hide and Seek: 1.199,00 TL; Hello Neighbor Bundle: 2.099,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/232953","2018-12-06","Horror","PEGI_12"
"341","JoJo's Bizarre Adventure: All-Star Battle R","22222222","PPSA04323","PS4, PS5","Нет","1.749,00 TL","Standard Edition: 1.749,00 TL; Deluxe Edition: 2.499,00 TL; Ultimate Edition: 3.249,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10001302","2022-09-01","Action","PEGI_12"
"272","Mafia II","22222222","CUSA17761","PS4","Нет","1.159,00 TL","","Да","Да","","https://store.playstation.com/en-tr/concept/234770","2020-05-18","Adventure","PEGI_18"
"330","Far Cry Primal","22222222","CUSA03309","PS4","Нет","1.399,00 TL","Apex Edition: 1.199,00 TL","Нет","Нет","PS Plus Extra","https://store.playstation.com/en-tr/concept/201634","2016-02-22","Adventure","PEGI_18"
"330","Far Cry Primal","22222222","CUSA03309","PS4","Нет","1.399,00 TL","Apex Edition: 1.199,00 TL","Нет","Нет","PS Plus Extra","https://store.playstation.com/en-tr/concept/201634","2016-02-22","Adventure","PEGI_18"
"633","Risk of Rain 2","22222222","PPSA06517","PS4, PS5","Нет","879,00 TL","Risk of Rain 2: 879,00 TL; ROR2 + SOTV + SOTS + AC: 1.074,50 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/234386","2024-08-27","Action","PEGI_12"
"749","NEW MONOPOLY","22222222","PPSA17419","PS4, PS5","Нет","1.049,00 TL","","Нет","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/10008585","2024-09-25","Party","PEGI_3"
"2574","Vampire Crawlers: The Turbo Wildcard from Vampire Survivors","22222222","PPSA30703","PS5","Нет","193,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/10015481","2026-04-21","Strategy","PEGI_7"
"625","Sniper Ghost Warrior Contracts 2","22222222","PPSA03131","PS4, PS5","Нет","1.399,00 TL","Standard Edition: 1.399,00 TL; SGWC1 & SGWC2 Double Pack: 2.099,00 TL; Premium Edition: 1.749,00 TL; SGWC1 & SGWC2 Double Pack: 2.099,00 TL; Complete Edition: 2.099,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10000888","2021-06-03","Shooter","PEGI_18"
"388","DRAGON BALL FighterZ","22222222","PPSA09789","PS4, PS5","Нет","2.499,00 TL","DRAGON BALL FighterZ PS4 & PS5: 2.499,00 TL; Legendary Edition: 1.287,25 TL; FighterZ Edition: 3.499,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/228726","2024-02-28","Fighting","PEGI_12"
"240","Moving Out 2","22222222","PPSA08206","PS4, PS5","Нет","1.049,00 TL","Moving Out 2: 1.049,00 TL; Moving Out + Moving Out 2 Bundle: 1.575,00 TL; Moving Out 2 - Deluxe Edition: 1.149,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10005309","2023-08-14","Strategy","PEGI_3"
"429","Diablo III","22222222","CUSA00433","PS4","Нет","304,07 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/200914","2017-06-26","Role Playing Games","PEGI_16"
"433","Hellblade: Senua’s Sacrifice","22222222","PPSA27581","PS5","Нет","899,00 TL","Standard Edition: 899,00 TL; Hellblade: Senua’s Sacrifice: 1.299,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10013503","2025-08-12","Adventure","PEGI_18"
"581","Undertale","22222222","CUSA09415","PS4","Нет","525,00 TL","Undertale: 525,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/228887","2017-08-14","Role Playing Games","PEGI_12"
"376","Just Cause 4: Reloaded","22222222","CUSA09264","PS4","Нет","1.399,00 TL","Just Cause 4: Reloaded: 1.399,00 TL; Just Cause 4 - Gold Edition: 2.099,00 TL; Just Cause 4 - Complete Edition: 2.499,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/229133","2019-11-06","Action","PEGI_18"
"2011","MONSTER HUNTER: WORLD","22222222","CUSA07708","PS4","Нет","849,00 TL","Monster Hunter: World: 849,00 TL; Master Edition: 1.749,00 TL; Master Edition DDX: 1.749,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/228785","2018-01-25","Action","PEGI_16"
"297","Truck Simulator 25: Euro Driver","22222222","CUSA51951","PS4","Нет","525,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10013081","2025-05-05","Driving/Racing","PEGI_3"
"255","Call of Duty: Infinite Warfare","22222222","CUSA05282","PS4","Да","2.499,00 TL","Call of Duty®: Infinite Warfare - Legacy Edition: 1.259,60 TL; Call of Duty®: Infinite Warfare - Digital Deluxe: 1.364,65 TL; Call of Duty®: Infinite Warfare: 2.499,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/221672","2016-11-02","Shooter","PEGI_18"
"1364","FINAL FANTASY XII THE ZODIAC AGE","22222222","CUSA05531","PS4","Нет","1.749,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/228209","2017-07-17","Role Playing Games","PEGI_16"
"2296","Resident Evil Code: Veronica X","22222222","CUSA07343","PS4","Нет","525,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/232117","2017-05-09","Horror","PEGI_16"
"774","DARK SOULS II: Scholar of the First Sin","22222222","CUSA01589","PS4","Нет","1.299,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/226237","2015-04-01","Adventure","PEGI_16"
"1532","resident evil 4 (2005)","22222222","CUSA04704","PS4","Нет","699,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/232114","2016-08-29","Horror","PEGI_18"
"417","Arizona Sunshine VR 2","22222222","PPSA17011","PS5","Нет","1.399,00 TL","Arizona Sunshine® VR - Freddy's Bundle: 1.749,00 TL; Deluxe Edition: 1.749,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10008622","2023-12-05","Action","PEGI_18"
"2529","Watch_Dogs","22222222","CUSA00016","PS4","Нет","849,00 TL","WATCH_DOGS™ COMPLETE EDITION: 1.299,00 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/205264","2014-08-26","Adventure","PEGI_18"
"2529","Watch_Dogs","22222222","CUSA00016","PS4","Нет","849,00 TL","WATCH_DOGS™ COMPLETE EDITION: 1.299,00 TL","Да","Да","PS Plus Extra","https://store.playstation.com/en-tr/concept/205264","2014-08-26","Adventure","PEGI_18"
"607","Alien: Isolation","22222222","CUSA00362","PS4","Нет","1.199,00 TL","Alien: Isolation - The Collection: 1.949,00 TL; Alien: Isolation: 1.199,00 TL","Да","Да","","https://store.playstation.com/en-tr/concept/200213","2014-10-06","Horror","PEGI_18"
"1264","DRAGON QUEST XI S: Echoes of an Elusive Age","22222222","CUSA19120","PS4","Нет","879,00 TL","DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition: 879,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/235335","2020-12-03","Role Playing Games","PEGI_12"
"451","The Dark Pictures Anthology: Little Hope","22222222","PPSA06487","PS4, PS5","Нет","699,00 TL","","Да","Да","","https://store.playstation.com/en-tr/concept/235232","2022-09-27","Adventure","PEGI_18"
"675","Road 96","22222222","PPSA05592","PS4, PS5","Нет","849,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/10003593","2022-04-13","Adventure","PEGI_16"
"2429","RESIDENT EVIL REVELATIONS","22222222","CUSA06212","PS4","Нет","699,00 TL","Resident Evil Revelations 1 & 2 Bundle: 1.049,00 TL; RESIDENT EVIL REVELATIONS: 699,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/232118","2017-08-28","Horror","PEGI_16"
"604","NieR Replicant ver.1.22474487139…","22222222","CUSA18742","PS4","Нет","398,99 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10000272","2021-04-22","Role Playing Games","PEGI_18"
"495","Gas Station Simulator","22222222","PPSA29133","PS5","Нет","949,00 TL","Gas Station Simulator, Airstrip DLC and Can Touch This DLC Bundle: 1.160,00 TL; Gas Station Simulator and Party Time DLC Bundle: 949,00 TL; Gas Station Simulator and Junkyard DLC Bundle: 714,45 TL; Gas Station Simulator and Can Touch This DLC Bundle: 1.031,00 TL; Gas Station Simulator and Airstrip DLC Bundle: 593,45 TL; Gas Station Simulator: 949,00 TL; Paradise Pack 4 in 1: 584,55 TL; Gas Station Simulator: Airstrip DLC + Tidal Wave DLC Bundle: 270,45 TL; Gas Station Simulator, Airstrip DLC and Can Touch This DLC Bundle: 875,00 TL; Gas Station Simulator and Party Time DLC Bundle: 314,55 TL; Gas Station Simulator and Junkyard DLC Bundle: 638,00 TL; Gas Station Simulator and Can Touch This DLC Bundle: 294,00 TL; Gas Station Simulator and Airstrip DLC Bundle: 335,60 TL; Gas Station Simulator: 699,00 TL; GSS Ultimate Pack 5 in 1: 1.299,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10004337","2026-04-09","Simulation","PEGI_12"
"506","Just Cause 3","22222222","CUSA02747","PS4","Нет","699,00 TL","Just Cause 3: XXL Edition: 27,25 TL; Just Cause 3: 699,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/202209","2015-11-30","Action","PEGI_18"
"1133","Blasphemous","22222222","CUSA16261","PS4","Нет","875,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/234422","2019-09-09","Action","PEGI_16"
"751","PAYDAY 2","22222222","CUSA50542","PS4","Нет","699,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/231035","2024-09-30","Shooter","PEGI_18"
"287","Assetto Corsa","22222222","CUSA11487","PS4","Нет","1.399,00 TL","Assetto Corsa Ultimate Edition: 1.399,00 TL; Assetto Corsa: 1.049,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/205920","2018-04-19","Driving/Racing","PEGI_3"
"2237","FINAL FANTASY VIII","22222222","CUSA08751","PS4","Нет","699,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/229480","2019-09-02","Role Playing Games","PEGI_16"
"698","Outward","22222222","PPSA03797","PS4, PS5","Нет","1.599,00 TL","Outward Definitive Edition: 1.599,00 TL; Outward: The Adventurer Bundle: 1.399,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/231374","2022-05-17","Role Playing Games","PEGI_12"
"1377","Forever Skies","22222222","PPSA07867","PS5","Нет","1.229,00 TL","Standard Edition: 1.229,00 TL; Help The Planet Bundle: 1.590,00 TL; Deluxe Edition: 1.399,00 TL; Enhanced Edition: 817,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10004499","2025-04-14","Simulator","PEGI_12"
"809","South Park: The Fractured but Whole","22222222","CUSA04323","PS4","Нет","1.049,00 TL","Bundle: South Park™ : The Stick of Truth™ + The Fractured but Whole™: 2.099,00 TL","Нет","Нет","PS Plus Extra","https://store.playstation.com/en-tr/concept/216489","2018-01-31","Role Playing Games","PEGI_18"
"809","South Park: The Fractured but Whole","22222222","CUSA04323","PS4","Нет","1.049,00 TL","Bundle: South Park™ : The Stick of Truth™ + The Fractured but Whole™: 2.099,00 TL","Нет","Нет","PS Plus Extra","https://store.playstation.com/en-tr/concept/216489","2018-01-31","Role Playing Games","PEGI_18"
"269","Plants vs. Zombies: Battle for Neighborville","22222222","CUSA10852","PS4","Нет","720,00 TL","Plants vs. Zombies: Battle for Neighborville™ Deluxe Edition: 1.080,00 TL; Plants vs. Zombies: Battle for Neighborville™: 720,00 TL; EA SPEED & SEED BUNDLE: 427,12 TL","Нет","Да","EA Access","https://store.playstation.com/en-tr/concept/234658","2019-10-17","Shooter","PEGI_7"
"1136","Formula Legends","22222222","PPSA26394","PS5","Нет","849,00 TL","Formula Legends – Formula E: 949,00 TL; Formula Legends Deluxe: 1.749,00 TL; Formula Legends: 849,00 TL; Formula Legends – Formula E: 949,00 TL; Formula Legends Deluxe: 1.749,00 TL; Formula Legends: 849,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10012804","2025-09-18","Driving/Racing","PEGI_3"
"1677","Resident Evil 3 Nemesis","22222222","PPSA07815","PS4, PS5","Нет","429,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/10005151","2025-08-19","Horror","PEGI_18"
"2018","MXGP 24: The Official Game","22222222","PPSA22981","PS5","Нет","2.099,00 TL","Standard Edition: 2.099,00 TL; Fox Holeshot Edition: 2.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10010833","2024-11-28","Driving/Racing","PEGI_3"
"652","LEGO The Incredibles","22222222","CUSA09897","PS4","Нет","2.099,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/229812","2018-06-14","Adventure","PEGI_7"
"1863","Bloons TD 6","22222222","CUSA29954","PS4","Нет","749,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/10000502","2024-07-31","Strategy","PEGI_3"
"1031","Berserk and the Band of the Hawk","22222222","CUSA07406","PS4","Нет","2.099,00 TL","","Нет","Нет","","https://store.playstation.com/en-tr/concept/227092","2017-03-24","Action","PEGI_18"
"515","The Evil Within","22222222","CUSA00375","PS4","Нет","699,00 TL","","Нет","Да","","https://store.playstation.com/en-tr/concept/204572","2014-12-16","Horror","PEGI_18"
"989","FAIRY TAIL 2","22222222","PPSA24062","PS4, PS5","Нет","2.499,00 TL","FAIRY TAIL 2 (PS4 & PS5): 2.499,00 TL; Digital Deluxe: 2.999,00 TL; Ultimate Edition: 4.599,00 TL","Нет","Нет","","https://store.playstation.com/en-tr/concept/10011532","2024-12-12","Role Playing Games","PEGI_12"
"740","Moving Out","22222222","CUSA17675","PS4","Нет","879,00 TL","Moving Out: 879,00 TL; Deluxe Edition: 1.049,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/235065","2020-05-11","Unique","PEGI_3"
"455","Atelier Yumia: The Alchemist of Memories & the Envisioned Land","22222222","PPSA25468","PS4, PS5","Нет","2.499,00 TL","Standard Edition PS4/PS5: 2.499,00 TL; Standard Edition PS4: 2.099,00 TL; Digital Deluxe PS4/PS5: 2.799,00 TL; Digital Deluxe PS4: 2.499,00 TL; Ultimate Edition PS4/PS5: 4.199,00 TL; Ultimate Edition PS4: 3.899,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10012240","2025-03-20","Role Playing Games","PEGI_12"
"455","Atelier Yumia: The Alchemist of Memories & the Envisioned Land","22222222","PPSA25468","PS4, PS5","Нет","2.499,00 TL","Standard Edition PS4/PS5: 2.499,00 TL; Standard Edition PS4: 2.099,00 TL; Digital Deluxe PS4/PS5: 2.799,00 TL; Digital Deluxe PS4: 2.499,00 TL; Ultimate Edition PS4/PS5: 4.199,00 TL; Ultimate Edition PS4: 3.899,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10012240","2025-03-20","Role Playing Games","PEGI_12"
"618","Goat Simulator","22222222","CUSA02779","PS4","Нет","349,00 TL","Goat Simulator: The GOATY: 839,00 TL; Goat Simulator: 349,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/201723","2015-08-11","Simulation","PEGI_12"
"2347","TT Isle Of Man: Ride on the Edge 3","22222222","PPSA08810","PS4, PS5","Нет","2.099,00 TL","TT Isle Of Man 3 - Racing Fan Edition: 2.499,00 TL","Нет","Да","","https://store.playstation.com/en-tr/concept/10005573","2023-05-11","Driving/Racing","PEGI_3"
